Time,c/kWh
2021-11-06 00:00,2.29
2021-11-07 00:00,3.21
2021-11-08 00:00,13.57
2021-11-09 00:00,7.94
2021-11-10 00:00,4.31
2021-11-11 00:00,3.59
2021-11-12 00:00,9.12
2021-11-13 00:00,6.57
2021-11-14 00:00,7.16
2021-11-15 00:00,9.12
2021-11-16 00:00,8.53
2021-11-17 00:00,6.51
2021-11-18 00:00,7.91
2021-11-19 00:00,9.52
2021-11-20 00:00,2.52
2021-11-21 00:00,7.93
2021-11-22 00:00,17.8
2021-11-23 00:00,17.01
2021-11-24 00:00,13.41
2021-11-25 00:00,13.84
2021-11-26 00:00,21.01
2021-11-27 00:00,22.24
2021-11-28 00:00,23.79
2021-11-29 00:00,33.39
2021-11-30 00:00,21.73
2021-12-01 00:00,21.54
2021-12-02 00:00,24.8
2021-12-03 00:00,22.83
2021-12-04 00:00,20.81
2021-12-05 00:00,18.93
2021-12-06 00:00,36.39
2021-12-07 00:00,58.72
2021-12-08 00:00,55.22
2021-12-09 00:00,33.85
2021-12-10 00:00,26.91
2021-12-11 00:00,22.71
2021-12-12 00:00,21.39
2021-12-13 00:00,26.49
2021-12-14 00:00,24.5
2021-12-15 00:00,10.59
2021-12-16 00:00,15.68
2021-12-17 00:00,19.21
2021-12-18 00:00,11.21
2021-12-19 00:00,8.72
2021-12-20 00:00,33.08
2021-12-21 00:00,50.64
2021-12-22 00:00,45.93
2021-12-23 00:00,22.58
2021-12-24 00:00,17.47
2021-12-25 00:00,16.65
2021-12-26 00:00,19.68
2021-12-27 00:00,20.21
2021-12-28 00:00,16.87
2021-12-29 00:00,19.93
2021-12-30 00:00,9.85
2021-12-31 00:00,8.77
2022-01-01 00:00,10.47
2022-01-02 00:00,7.97
2022-01-03 00:00,10.55
2022-01-04 00:00,15.73
2022-01-05 00:00,15.61
2022-01-06 00:00,21.49
2022-01-07 00:00,21.11
2022-01-08 00:00,20.58
2022-01-09 00:00,18.51
2022-01-10 00:00,31.4
2022-01-11 00:00,20.81
2022-01-12 00:00,11.18
2022-01-13 00:00,2.93
2022-01-14 00:00,8.04
2022-01-15 00:00,12.14
2022-01-16 00:00,2.98
2022-01-17 00:00,10.22
2022-01-18 00:00,18.78
2022-01-19 00:00,8.27
2022-01-20 00:00,10.58
2022-01-21 00:00,13.77
2022-01-22 00:00,20.75
2022-01-23 00:00,11.37
2022-01-24 00:00,8.26
2022-01-25 00:00,17.21
2022-01-26 00:00,13.41
2022-01-27 00:00,17.47
2022-01-28 00:00,15.98
2022-01-29 00:00,3.66
2022-01-30 00:00,5.06
2022-01-31 00:00,21.58
2022-02-01 00:00,19.33
2022-02-02 00:00,20.96
2022-02-03 00:00,22.65
2022-02-04 00:00,10.59
2022-02-05 00:00,7.65
2022-02-06 00:00,5.78
2022-02-07 00:00,13.31
2022-02-08 00:00,12.83
2022-02-09 00:00,10.45
2022-02-10 00:00,7.27
2022-02-11 00:00,13.22
2022-02-12 00:00,5.81
2022-02-13 00:00,2.79
2022-02-14 00:00,9.06
2022-02-15 00:00,9.91
2022-02-16 00:00,9.81
2022-02-17 00:00,8.13
2022-02-18 00:00,9.33
2022-02-19 00:00,8.55
2022-02-20 00:00,9.42
2022-02-21 00:00,10.55
2022-02-22 00:00,14.22
2022-02-23 00:00,13.68
2022-02-24 00:00,7.79
2022-02-25 00:00,9.86
2022-02-26 00:00,9.41
2022-02-27 00:00,4.04
2022-02-28 00:00,12.15
2022-03-01 00:00,9.25
2022-03-02 00:00,9.01
2022-03-03 00:00,9.68
2022-03-04 00:00,24.95
2022-03-05 00:00,11.14
2022-03-06 00:00,8.27
2022-03-07 00:00,22.69
2022-03-08 00:00,22.98
2022-03-09 00:00,23.14
2022-03-10 00:00,6.92
2022-03-11 00:00,10.83
2022-03-12 00:00,12.41
2022-03-13 00:00,8.19
2022-03-14 00:00,13.88
2022-03-15 00:00,15.89
2022-03-16 00:00,10.82
2022-03-17 00:00,3.98
2022-03-18 00:00,4.45
2022-03-19 00:00,2.31
2022-03-20 00:00,3.43
2022-03-21 00:00,5.31
2022-03-22 00:00,13.16
2022-03-23 00:00,16.36
2022-03-24 00:00,12.8
2022-03-25 00:00,5.76
2022-03-26 00:00,2.94
2022-03-27 00:00,6.06
2022-03-28 00:00,2.79
2022-03-29 00:00,13.32
2022-03-30 00:00,14.09
2022-03-31 00:00,23.51
2022-04-01 00:00,19.86
2022-04-02 00:00,7.07
2022-04-03 00:00,7.44
2022-04-04 00:00,9.23
2022-04-05 00:00,7.14
2022-04-06 00:00,10.74
2022-04-07 00:00,10.26
2022-04-08 00:00,4.14
2022-04-09 00:00,4.08
2022-04-10 00:00,2.94
2022-04-11 00:00,10.1
2022-04-12 00:00,15.32
2022-04-13 00:00,13.03
2022-04-14 00:00,11.92
2022-04-15 00:00,8.2
2022-04-16 00:00,7.84
2022-04-17 00:00,6.43
2022-04-18 00:00,9.48
2022-04-19 00:00,12.55
2022-04-20 00:00,9.81
2022-04-21 00:00,6.31
2022-04-22 00:00,5.57
2022-04-23 00:00,3.91
2022-04-24 00:00,10.16
2022-04-25 00:00,20.8
2022-04-26 00:00,17.17
2022-04-27 00:00,18.35
2022-04-28 00:00,17.05
2022-04-29 00:00,16.84
2022-04-30 00:00,9.17
2022-05-01 00:00,16.99
2022-05-02 00:00,6.99
2022-05-03 00:00,14.47
2022-05-04 00:00,24.55
2022-05-05 00:00,17.06
2022-05-06 00:00,11.54
2022-05-07 00:00,5.06
2022-05-08 00:00,8.5
2022-05-09 00:00,21.32
2022-05-10 00:00,9.15
2022-05-11 00:00,11.83
2022-05-12 00:00,13.58
2022-05-13 00:00,16.01
2022-05-14 00:00,14.21
2022-05-15 00:00,9.62
2022-05-16 00:00,16.57
2022-05-17 00:00,20.1
2022-05-18 00:00,22.21
2022-05-19 00:00,28.75
2022-05-20 00:00,30.92
2022-05-21 00:00,20.03
2022-05-22 00:00,17.2
2022-05-23 00:00,23.6
2022-05-24 00:00,21.7
2022-05-25 00:00,19.47
2022-05-26 00:00,15.64
2022-05-27 00:00,21.04
2022-05-28 00:00,14.83
2022-05-29 00:00,15.02
2022-05-30 00:00,23.74
2022-05-31 00:00,16.55
2022-06-01 00:00,15.02
2022-06-02 00:00,19.13
2022-06-03 00:00,17.73
2022-06-04 00:00,21.13
2022-06-05 00:00,6.86
2022-06-06 00:00,22.93
2022-06-07 00:00,20.03
2022-06-08 00:00,27.26
2022-06-09 00:00,26.23
2022-06-10 00:00,25.96
2022-06-11 00:00,2.75
2022-06-12 00:00,3.44
2022-06-13 00:00,16.43
2022-06-14 00:00,21.56
2022-06-15 00:00,18.36
2022-06-16 00:00,16.66
2022-06-17 00:00,22.57
2022-06-18 00:00,10.34
2022-06-19 00:00,2.8
2022-06-20 00:00,28.64
2022-06-21 00:00,23.23
2022-06-22 00:00,20.97
2022-06-23 00:00,8.56
2022-06-24 00:00,9.11
2022-06-25 00:00,9.71
2022-06-26 00:00,11.8
2022-06-27 00:00,25.54
2022-06-28 00:00,19.83
2022-06-29 00:00,30.96
2022-06-30 00:00,33.32
2022-07-01 00:00,25.67
2022-07-02 00:00,7.55
2022-07-03 00:00,7.1
2022-07-04 00:00,27.5
2022-07-05 00:00,15.79
2022-07-06 00:00,18.23
2022-07-07 00:00,23.86
2022-07-08 00:00,17.63
2022-07-09 00:00,19.6
2022-07-10 00:00,21.05
2022-07-11 00:00,52.13
2022-07-12 00:00,43.45
2022-07-13 00:00,46.68
2022-07-14 00:00,41.21
2022-07-15 00:00,35.85
2022-07-16 00:00,26.87
2022-07-17 00:00,18.19
2022-07-18 00:00,30.94
2022-07-19 00:00,25.65
2022-07-20 00:00,21.05
2022-07-21 00:00,25.76
2022-07-22 00:00,25.4
2022-07-23 00:00,16.94
2022-07-24 00:00,19.96
2022-07-25 00:00,20.65
2022-07-26 00:00,1.47
2022-07-27 00:00,10.91
2022-07-28 00:00,22.22
2022-07-29 00:00,21.57
2022-07-30 00:00,15.74
2022-07-31 00:00,19.46
2022-08-01 00:00,34.73
2022-08-02 00:00,24.48
2022-08-03 00:00,1.85
2022-08-04 00:00,1.53
2022-08-05 00:00,6.85
2022-08-06 00:00,2.34
2022-08-07 00:00,5.67
2022-08-08 00:00,60.25
2022-08-09 00:00,37.62
2022-08-10 00:00,16.98
2022-08-11 00:00,13.52
2022-08-12 00:00,31.93
2022-08-13 00:00,36.72
2022-08-14 00:00,41.44
2022-08-15 00:00,46.12
2022-08-16 00:00,38.14
2022-08-17 00:00,25.4
2022-08-18 00:00,58.31
2022-08-19 00:00,50.8
2022-08-20 00:00,7.41
2022-08-21 00:00,4.12
2022-08-22 00:00,47.32
2022-08-23 00:00,61.97
2022-08-24 00:00,52.53
2022-08-25 00:00,62.77
2022-08-26 00:00,58.65
2022-08-27 00:00,29.95
2022-08-28 00:00,25.43
2022-08-29 00:00,38.74
2022-08-30 00:00,57.98
2022-08-31 00:00,41.95
2022-09-01 00:00,42.45
2022-09-02 00:00,35.54
2022-09-03 00:00,17.21
2022-09-04 00:00,23.9
2022-09-05 00:00,46
2022-09-06 00:00,33.07
2022-09-07 00:00,48.36
2022-09-08 00:00,37.82
2022-09-09 00:00,34.14
2022-09-10 00:00,28.24
2022-09-11 00:00,35.56
2022-09-12 00:00,32.62
2022-09-13 00:00,9.79
2022-09-14 00:00,11.42
2022-09-15 00:00,15.31
2022-09-16 00:00,14.46
2022-09-17 00:00,14.14
2022-09-18 00:00,12.76
2022-09-19 00:00,13.08
2022-09-20 00:00,13.55
2022-09-21 00:00,41.46
2022-09-22 00:00,33.37
2022-09-23 00:00,25.8
2022-09-24 00:00,24.82
2022-09-25 00:00,23.89
2022-09-26 00:00,23.97
2022-09-27 00:00,17.38
2022-09-28 00:00,31.54
2022-09-29 00:00,28.48
2022-09-30 00:00,47.27
2022-10-01 00:00,32.05
2022-10-02 00:00,33.03
2022-10-03 00:00,32.7
2022-10-04 00:00,29.92
2022-10-05 00:00,4.72
2022-10-06 00:00,1.12
2022-10-07 00:00,1.55
2022-10-08 00:00,1.51
2022-10-09 00:00,2.01
2022-10-10 00:00,1.93
2022-10-11 00:00,1.78
2022-10-12 00:00,16.51
2022-10-13 00:00,11.67
2022-10-14 00:00,24.97
2022-10-15 00:00,5.05
2022-10-16 00:00,2.81
2022-10-17 00:00,13.6
2022-10-18 00:00,16.95
2022-10-19 00:00,16.19
2022-10-20 00:00,24.44
2022-10-21 00:00,31.74
2022-10-22 00:00,12.65
2022-10-23 00:00,8.01
2022-10-24 00:00,25.84
2022-10-25 00:00,18.31
2022-10-26 00:00,18.96
2022-10-27 00:00,20.9
2022-10-28 00:00,12.48
2022-10-29 00:00,2.37
2022-10-30 00:00,10.53
2022-10-31 00:00,18.54
2022-11-01 00:00,29.92
2022-11-02 00:00,18.18
2022-11-03 00:00,12.07
2022-11-04 00:00,7.87
2022-11-05 00:00,9.29
2022-11-06 00:00,5.1
2022-11-07 00:00,18.89
2022-11-08 00:00,20.54
2022-11-09 00:00,21.52
2022-11-10 00:00,19.3
2022-11-11 00:00,1.43
2022-11-12 00:00,0.8
2022-11-13 00:00,13.08
2022-11-14 00:00,22.03
2022-11-15 00:00,19.27
2022-11-16 00:00,37.66
2022-11-17 00:00,35.61
2022-11-18 00:00,34.62
2022-11-19 00:00,27.53
2022-11-20 00:00,27.79
2022-11-21 00:00,33.34
2022-11-22 00:00,34.11
2022-11-23 00:00,31.28
2022-11-24 00:00,34.09
2022-11-25 00:00,35.86
2022-11-26 00:00,33.31
2022-11-27 00:00,29.04
2022-11-28 00:00,33.94
2022-11-29 00:00,46.96
2022-11-30 00:00,42.85
2022-12-01 00:00,48.91
2022-12-02 00:00,41.14
2022-12-03 00:00,35.59
2022-12-04 00:00,34.17
2022-12-05 00:00,32.7
2022-12-06 00:00,27.38
2022-12-07 00:00,37.82
2022-12-08 00:00,40.52
2022-12-09 00:00,45.34
2022-12-10 00:00,36.75
2022-12-11 00:00,36.38
2022-12-12 00:00,43.51
2022-12-13 00:00,47.99
2022-12-14 00:00,49.28
2022-12-15 00:00,44.43
2022-12-16 00:00,44.66
2022-12-17 00:00,22.89
2022-12-18 00:00,19.78
2022-12-19 00:00,21.18
2022-12-20 00:00,22.23
2022-12-21 00:00,27.3
2022-12-22 00:00,22.41
2022-12-23 00:00,21.99
2022-12-24 00:00,9.81
2022-12-25 00:00,10.49
2022-12-26 00:00,4.53
2022-12-27 00:00,10.27
2022-12-28 00:00,13.25
2022-12-29 00:00,6.64
2022-12-30 00:00,2.64
2022-12-31 00:00,1.53
2023-01-01 00:00,2.46
2023-01-02 00:00,13.77
2023-01-03 00:00,15.3
2023-01-04 00:00,11.87
2023-01-05 00:00,12.46
2023-01-06 00:00,13.14
2023-01-07 00:00,8.89
2023-01-08 00:00,4.79
2023-01-09 00:00,8.84
2023-01-10 00:00,13.18
2023-01-11 00:00,7.78
2023-01-12 00:00,6.42
2023-01-13 00:00,7.99
2023-01-14 00:00,7.84
2023-01-15 00:00,2.6
2023-01-16 00:00,8.29
2023-01-17 00:00,7.43
2023-01-18 00:00,9.31
2023-01-19 00:00,15.5
2023-01-20 00:00,13.79
2023-01-21 00:00,13.48
2023-01-22 00:00,8.12
2023-01-23 00:00,9.59
2023-01-24 00:00,13.33
2023-01-25 00:00,3.22
2023-01-26 00:00,11.35
2023-01-27 00:00,13.09
2023-01-28 00:00,4.13
2023-01-29 00:00,3.98
2023-01-30 00:00,5.5
2023-01-31 00:00,9.13
2023-02-01 00:00,13.59
2023-02-02 00:00,15.32
2023-02-03 00:00,13.3
2023-02-04 00:00,13.45
2023-02-05 00:00,9.77
2023-02-06 00:00,15.77
2023-02-07 00:00,7.84
2023-02-08 00:00,7.5
2023-02-09 00:00,2.95
2023-02-10 00:00,5.58
2023-02-11 00:00,7.95
2023-02-12 00:00,3.67
2023-02-13 00:00,3.25
2023-02-14 00:00,14.27
2023-02-15 00:00,13.89
2023-02-16 00:00,5.49
2023-02-17 00:00,6.97
2023-02-18 00:00,6.91
2023-02-19 00:00,8.9
2023-02-20 00:00,8.42
2023-02-21 00:00,12.92
2023-02-22 00:00,15.38
2023-02-23 00:00,9.37
2023-02-24 00:00,12.38
2023-02-25 00:00,5.49
2023-02-26 00:00,9.75
2023-02-27 00:00,9.27
2023-02-28 00:00,4.18
2023-03-01 00:00,9.57
2023-03-02 00:00,3.02
2023-03-03 00:00,9.56
2023-03-04 00:00,8.94
2023-03-05 00:00,13.5
2023-03-06 00:00,17.18
2023-03-07 00:00,14.16
2023-03-08 00:00,14.84
2023-03-09 00:00,14.45
2023-03-10 00:00,13.16
2023-03-11 00:00,11.49
2023-03-12 00:00,9.72
2023-03-13 00:00,7.73
2023-03-14 00:00,8.6
2023-03-15 00:00,12.14
2023-03-16 00:00,9.98
2023-03-17 00:00,4.8
2023-03-18 00:00,2.97
2023-03-19 00:00,6.41
2023-03-20 00:00,9.17
2023-03-21 00:00,6.15
2023-03-22 00:00,5.54
2023-03-23 00:00,4.32
2023-03-24 00:00,5.04
2023-03-25 00:00,3.69
2023-03-26 00:00,5.55
2023-03-27 00:00,6.78
2023-03-28 00:00,5.33
2023-03-29 00:00,11.88
2023-03-30 00:00,8.61
2023-03-31 00:00,6.7
2023-04-01 00:00,5.22
2023-04-02 00:00,6.29
2023-04-03 00:00,11.8
2023-04-04 00:00,13.22
2023-04-05 00:00,12.52
2023-04-06 00:00,10.78
2023-04-07 00:00,6.79
2023-04-08 00:00,6.5
2023-04-09 00:00,6.31
2023-04-10 00:00,3.79
2023-04-11 00:00,3.96
2023-04-12 00:00,4.9
2023-04-13 00:00,2.56
2023-04-14 00:00,4.13
2023-04-15 00:00,5.17
2023-04-16 00:00,8.55
2023-04-17 00:00,11.67
2023-04-18 00:00,9.96
2023-04-19 00:00,6.81
2023-04-20 00:00,7.04
2023-04-21 00:00,7.09
2023-04-22 00:00,4.5
2023-04-23 00:00,4.63
2023-04-24 00:00,7.92
2023-04-25 00:00,4.88
2023-04-26 00:00,6.87
2023-04-27 00:00,11.48
2023-04-28 00:00,11.29
2023-04-29 00:00,7.69
2023-04-30 00:00,3.44
