cat,val1
17.01.2021+00:0011:00,22085.60
17.01.2021+00:0012:00,16811.20
17.01.2021+00:0013:00,13923.20
17.01.2021+00:0014:00,8800.80
17.01.2021+00:0015:00,19228.00
17.01.2021+00:0016:00,22207.20
17.01.2021+00:0017:00,29579.20
17.01.2021+00:0018:00,40432.00
17.01.2021+00:0019:00,34716.80
17.01.2021+00:0020:00,27329.60
17.01.2021+00:0021:00,16279.20
17.01.2021+00:0022:00,7022.40
17.01.2021+00:0023:00,2994.40
18.01.2021+00:0000:00,0.00
18.01.2021+00:0001:00,0.00
18.01.2021+00:0002:00,0.00
18.01.2021+00:0003:00,0.00
18.01.2021+00:0004:00,0.00
18.01.2021+00:0005:00,19265.40
18.01.2021+00:0006:00,40024.60
18.01.2021+00:0007:00,35928.20
18.01.2021+00:0008:00,21837.20
18.01.2021+00:0009:00,22453.20
18.01.2021+00:0010:00,19342.40
18.01.2021+00:0011:00,19142.20
18.01.2021+00:0012:00,21960.40
18.01.2021+00:0013:00,31061.80
18.01.2021+00:0014:00,26934.60
18.01.2021+00:0015:00,24701.60
18.01.2021+00:0016:00,31462.20
18.01.2021+00:0017:00,31077.20
18.01.2021+00:0018:00,32170.60
18.01.2021+00:0019:00,18202.80
18.01.2021+00:0020:00,6021.40
18.01.2021+00:0021:00,9763.60
18.01.2021+00:0022:00,6113.80
18.01.2021+00:0023:00,0.00
19.01.2021+00:0000:00,0.00
19.01.2021+00:0001:00,0.00
19.01.2021+00:0002:00,0.00
19.01.2021+00:0003:00,0.00
19.01.2021+00:0004:00,0.00
19.01.2021+00:0005:00,26118.40
19.01.2021+00:0006:00,50358.00
19.01.2021+00:0007:00,58920.40
19.01.2021+00:0008:00,34988.80
19.01.2021+00:0009:00,30476.60
19.01.2021+00:0010:00,33140.80
19.01.2021+00:0011:00,27920.20
19.01.2021+00:0012:00,29706.60
19.01.2021+00:0013:00,29860.60
19.01.2021+00:0014:00,33756.80
19.01.2021+00:0015:00,46076.80
19.01.2021+00:0016:00,53884.60
19.01.2021+00:0017:00,43813.00
19.01.2021+00:0018:00,44429.00
19.01.2021+00:0019:00,11734.80
19.01.2021+00:0020:00,0.00
19.01.2021+00:0021:00,13274.80
19.01.2021+00:0022:00,0.00
19.01.2021+00:0023:00,0.00
20.01.2021+00:0000:00,0.00
20.01.2021+00:0001:00,0.00
20.01.2021+00:0002:00,0.00
20.01.2021+00:0003:00,0.00
20.01.2021+00:0004:00,0.00
20.01.2021+00:0005:00,3927.00
20.01.2021+00:0006:00,29213.80
20.01.2021+00:0007:00,36652.00
20.01.2021+00:0008:00,49849.80
20.01.2021+00:0009:00,53145.40
20.01.2021+00:0010:00,66589.60
20.01.2021+00:0011:00,66651.20
20.01.2021+00:0012:00,60953.20
20.01.2021+00:0013:00,56302.40
20.01.2021+00:0014:00,62647.20
20.01.2021+00:0015:00,67652.20
20.01.2021+00:0016:00,68345.20
20.01.2021+00:0017:00,69192.20
20.01.2021+00:0018:00,56764.40
20.01.2021+00:0019:00,22314.60
20.01.2021+00:0020:00,246.40
20.01.2021+00:0021:00,0.00
20.01.2021+00:0022:00,0.00
20.01.2021+00:0023:00,0.00
21.01.2021+00:0000:00,0.00
21.01.2021+00:0001:00,0.00
21.01.2021+00:0002:00,0.00
21.01.2021+00:0003:00,0.00
21.01.2021+00:0004:00,0.00
21.01.2021+00:0005:00,11169.60
21.01.2021+00:0006:00,33508.80
21.01.2021+00:0007:00,30045.60
21.01.2021+00:0008:00,22573.20
21.01.2021+00:0009:00,23166.00
21.01.2021+00:0010:00,28875.60
21.01.2021+00:0011:00,30435.60
21.01.2021+00:0012:00,28891.20
21.01.2021+00:0013:00,28828.80
21.01.2021+00:0014:00,29265.60
21.01.2021+00:0015:00,32822.40
21.01.2021+00:0016:00,33493.20
21.01.2021+00:0017:00,33040.80
21.01.2021+00:0018:00,32728.80
21.01.2021+00:0019:00,11653.20
21.01.2021+00:0020:00,5974.80
21.01.2021+00:0021:00,2542.80
21.01.2021+00:0022:00,0.00
21.01.2021+00:0023:00,0.00
22.01.2021+00:0000:00,0.00
22.01.2021+00:0001:00,0.00
22.01.2021+00:0002:00,0.00
22.01.2021+00:0003:00,0.00
22.01.2021+00:0004:00,0.00
22.01.2021+00:0005:00,0.00
22.01.2021+00:0006:00,5541.70
22.01.2021+00:0007:00,13348.40
22.01.2021+00:0008:00,20430.30
22.01.2021+00:0009:00,17244.20
22.01.2021+00:0010:00,15266.10
22.01.2021+00:0011:00,12759.50
22.01.2021+00:0012:00,11113.60
22.01.2021+00:0013:00,9830.10
22.01.2021+00:0014:00,8907.60
22.01.2021+00:0015:00,8751.60
22.01.2021+00:0016:00,9984.00
22.01.2021+00:0017:00,11793.60
22.01.2021+00:0018:00,11590.80
22.01.2021+00:0019:00,8080.80
22.01.2021+00:0020:00,2121.60
22.01.2021+00:0021:00,0.00
22.01.2021+00:0022:00,0.00
22.01.2021+00:0023:00,0.00
23.01.2021+00:0000:00,0.00
23.01.2021+00:0001:00,0.00
23.01.2021+00:0002:00,0.00
23.01.2021+00:0003:00,0.00
23.01.2021+00:0004:00,0.00
23.01.2021+00:0005:00,0.00
23.01.2021+00:0006:00,0.00
23.01.2021+00:0007:00,0.00
23.01.2021+00:0008:00,0.00
23.01.2021+00:0009:00,0.00
23.01.2021+00:0010:00,1450.80
23.01.2021+00:0011:00,3088.80
23.01.2021+00:0012:00,2948.40
23.01.2021+00:0013:00,4602.00
23.01.2021+00:0014:00,6380.40
23.01.2021+00:0015:00,7285.20
23.01.2021+00:0016:00,32026.80
23.01.2021+00:0017:00,39826.80
23.01.2021+00:0018:00,44538.00
23.01.2021+00:0019:00,34382.40
23.01.2021+00:0020:00,7347.60
23.01.2021+00:0021:00,4024.80
23.01.2021+00:0022:00,0.00
23.01.2021+00:0023:00,0.00
24.01.2021+00:0000:00,0.00
24.01.2021+00:0001:00,0.00
24.01.2021+00:0002:00,0.00
24.01.2021+00:0003:00,0.00
24.01.2021+00:0004:00,0.00
24.01.2021+00:0005:00,0.00
24.01.2021+00:0006:00,0.00
24.01.2021+00:0007:00,0.00
24.01.2021+00:0008:00,0.00
24.01.2021+00:0009:00,0.00
24.01.2021+00:0010:00,0.00
24.01.2021+00:0011:00,0.00
24.01.2021+00:0012:00,0.00
24.01.2021+00:0013:00,0.00
24.01.2021+00:0014:00,0.00
24.01.2021+00:0015:00,0.00
24.01.2021+00:0016:00,0.00
24.01.2021+00:0017:00,0.00
24.01.2021+00:0018:00,0.00
24.01.2021+00:0019:00,0.00
24.01.2021+00:0020:00,0.00
24.01.2021+00:0021:00,0.00
24.01.2021+00:0022:00,0.00
24.01.2021+00:0023:00,0.00
25.01.2021+00:0000:00,0.00
25.01.2021+00:0001:00,0.00
25.01.2021+00:0002:00,0.00
25.01.2021+00:0003:00,0.00
25.01.2021+00:0004:00,0.00
25.01.2021+00:0005:00,0.00
25.01.2021+00:0006:00,2903.20
25.01.2021+00:0007:00,0.00
