cat,val1
20.01.2021+00:0021:00,0.00
20.01.2021+00:0022:00,0.00
20.01.2021+00:0023:00,0.00
21.01.2021+00:0000:00,0.00
21.01.2021+00:0001:00,0.00
21.01.2021+00:0002:00,0.00
21.01.2021+00:0003:00,0.00
21.01.2021+00:0004:00,0.00
21.01.2021+00:0005:00,0.00
21.01.2021+00:0006:00,9723.12
21.01.2021+00:0007:00,15077.44
21.01.2021+00:0008:00,31638.24
21.01.2021+00:0009:00,31059.12
21.01.2021+00:0010:00,27492.96
21.01.2021+00:0011:00,15311.12
21.01.2021+00:0012:00,16570.96
21.01.2021+00:0013:00,25613.36
21.01.2021+00:0014:00,16560.80
21.01.2021+00:0015:00,25877.52
21.01.2021+00:0016:00,25552.40
21.01.2021+00:0017:00,24058.88
21.01.2021+00:0018:00,15250.16
21.01.2021+00:0019:00,27330.40
21.01.2021+00:0020:00,0.00
21.01.2021+00:0021:00,0.00
21.01.2021+00:0022:00,0.00
21.01.2021+00:0023:00,0.00
22.01.2021+00:0000:00,0.00
22.01.2021+00:0001:00,0.00
22.01.2021+00:0002:00,0.00
22.01.2021+00:0003:00,0.00
22.01.2021+00:0004:00,0.00
22.01.2021+00:0005:00,0.00
22.01.2021+00:0006:00,0.00
22.01.2021+00:0007:00,21173.44
22.01.2021+00:0008:00,35041.84
22.01.2021+00:0009:00,37734.24
22.01.2021+00:0010:00,38059.36
22.01.2021+00:0011:00,26852.88
22.01.2021+00:0012:00,36555.68
22.01.2021+00:0013:00,28458.16
22.01.2021+00:0014:00,20238.72
22.01.2021+00:0015:00,37744.40
22.01.2021+00:0016:00,41666.16
22.01.2021+00:0017:00,40457.12
22.01.2021+00:0018:00,27188.16
22.01.2021+00:0019:00,0.00
22.01.2021+00:0020:00,0.00
22.01.2021+00:0021:00,0.00
22.01.2021+00:0022:00,0.00
22.01.2021+00:0023:00,0.00
23.01.2021+00:0000:00,0.00
23.01.2021+00:0001:00,0.00
23.01.2021+00:0002:00,0.00
23.01.2021+00:0003:00,0.00
23.01.2021+00:0004:00,0.00
23.01.2021+00:0005:00,0.00
23.01.2021+00:0006:00,0.00
23.01.2021+00:0007:00,0.00
23.01.2021+00:0008:00,13512.80
23.01.2021+00:0009:00,19659.60
23.01.2021+00:0010:00,20563.84
23.01.2021+00:0011:00,20137.12
23.01.2021+00:0012:00,19039.84
23.01.2021+00:0013:00,14244.32
23.01.2021+00:0014:00,11755.12
23.01.2021+00:0015:00,11430.00
23.01.2021+00:0016:00,416.56
23.01.2021+00:0017:00,0.00
23.01.2021+00:0018:00,0.00
23.01.2021+00:0019:00,0.00
23.01.2021+00:0020:00,0.00
23.01.2021+00:0021:00,0.00
23.01.2021+00:0022:00,0.00
23.01.2021+00:0023:00,0.00
24.01.2021+00:0000:00,0.00
24.01.2021+00:0001:00,0.00
24.01.2021+00:0002:00,0.00
24.01.2021+00:0003:00,0.00
24.01.2021+00:0004:00,0.00
24.01.2021+00:0005:00,0.00
24.01.2021+00:0006:00,0.00
24.01.2021+00:0007:00,0.00
24.01.2021+00:0008:00,0.00
24.01.2021+00:0009:00,0.00
24.01.2021+00:0010:00,0.00
24.01.2021+00:0011:00,0.00
24.01.2021+00:0012:00,0.00
24.01.2021+00:0013:00,0.00
24.01.2021+00:0014:00,0.00
24.01.2021+00:0015:00,0.00
24.01.2021+00:0016:00,0.00
24.01.2021+00:0017:00,0.00
24.01.2021+00:0018:00,0.00
24.01.2021+00:0019:00,0.00
24.01.2021+00:0020:00,0.00
24.01.2021+00:0021:00,0.00
24.01.2021+00:0022:00,0.00
24.01.2021+00:0023:00,0.00
25.01.2021+00:0000:00,0.00
25.01.2021+00:0001:00,0.00
25.01.2021+00:0002:00,0.00
25.01.2021+00:0003:00,0.00
25.01.2021+00:0004:00,0.00
25.01.2021+00:0005:00,0.00
25.01.2021+00:0006:00,0.00
25.01.2021+00:0007:00,0.00
25.01.2021+00:0008:00,0.00
25.01.2021+00:0009:00,0.00
25.01.2021+00:0010:00,0.00
25.01.2021+00:0011:00,0.00
25.01.2021+00:0012:00,0.00
25.01.2021+00:0013:00,0.00
25.01.2021+00:0014:00,0.00
25.01.2021+00:0015:00,0.00
25.01.2021+00:0016:00,0.00
25.01.2021+00:0017:00,0.00
25.01.2021+00:0018:00,0.00
25.01.2021+00:0019:00,0.00
25.01.2021+00:0020:00,0.00
25.01.2021+00:0021:00,0.00
25.01.2021+00:0022:00,0.00
25.01.2021+00:0023:00,0.00
26.01.2021+00:0000:00,0.00
26.01.2021+00:0001:00,0.00
26.01.2021+00:0002:00,0.00
26.01.2021+00:0003:00,0.00
26.01.2021+00:0004:00,0.00
26.01.2021+00:0005:00,0.00
26.01.2021+00:0006:00,0.00
26.01.2021+00:0007:00,0.00
26.01.2021+00:0008:00,0.00
26.01.2021+00:0009:00,0.00
26.01.2021+00:0010:00,0.00
26.01.2021+00:0011:00,0.00
26.01.2021+00:0012:00,0.00
26.01.2021+00:0013:00,0.00
26.01.2021+00:0014:00,0.00
26.01.2021+00:0015:00,0.00
26.01.2021+00:0016:00,0.00
26.01.2021+00:0017:00,0.00
26.01.2021+00:0018:00,0.00
26.01.2021+00:0019:00,0.00
26.01.2021+00:0020:00,0.00
26.01.2021+00:0021:00,0.00
26.01.2021+00:0022:00,0.00
26.01.2021+00:0023:00,0.00
27.01.2021+00:0000:00,0.00
27.01.2021+00:0001:00,0.00
27.01.2021+00:0002:00,0.00
27.01.2021+00:0003:00,0.00
27.01.2021+00:0004:00,0.00
27.01.2021+00:0005:00,0.00
27.01.2021+00:0006:00,0.00
27.01.2021+00:0007:00,0.00
27.01.2021+00:0008:00,0.00
27.01.2021+00:0009:00,0.00
27.01.2021+00:0010:00,0.00
27.01.2021+00:0011:00,0.00
27.01.2021+00:0012:00,0.00
27.01.2021+00:0013:00,0.00
27.01.2021+00:0014:00,0.00
27.01.2021+00:0015:00,0.00
27.01.2021+00:0016:00,0.00
27.01.2021+00:0017:00,0.00
27.01.2021+00:0018:00,0.00
27.01.2021+00:0019:00,0.00
27.01.2021+00:0020:00,0.00
27.01.2021+00:0021:00,0.00
27.01.2021+00:0022:00,0.00
27.01.2021+00:0023:00,0.00
28.01.2021+00:0000:00,0.00
28.01.2021+00:0001:00,0.00
28.01.2021+00:0002:00,0.00
28.01.2021+00:0003:00,0.00
28.01.2021+00:0004:00,0.00
28.01.2021+00:0005:00,0.00
28.01.2021+00:0006:00,0.00
28.01.2021+00:0007:00,0.00
28.01.2021+00:0008:00,0.00
28.01.2021+00:0009:00,0.00
28.01.2021+00:0010:00,0.00
28.01.2021+00:0011:00,0.00
28.01.2021+00:0012:00,0.00
28.01.2021+00:0013:00,0.00
28.01.2021+00:0014:00,0.00
28.01.2021+00:0015:00,0.00
28.01.2021+00:0016:00,0.00
28.01.2021+00:0017:00,0.00
